timestamp,hr_bpm,snr,rmssd_ms_trend,resp_per_min,face_idx,video_ok,voice_db,voice_voiced,voice_pitch_hz,voice_speech_ratio,voice_tempo_per_min,voice_pauses_per_min,voice_avg_pause_sec
2026-06-17T12:31:40,71.9,4.1,,12.0,0,1,-89.3,0,,0.000,,0.00,
2026-06-17T12:31:41,51.1,1.5,,10.2,0,1,-88.2,0,,0.000,,0.00,
2026-06-17T12:31:41,160.2,1.2,399.4,8.9,0,1,-86.0,0,,0.000,,0.00,
2026-06-17T12:31:42,151.1,1.2,399.8,8.0,0,1,-57.4,0,,0.000,,0.00,
2026-06-17T12:31:43,151.0,1.2,400.1,7.5,0,1,-61.8,0,,0.000,,0.00,
2026-06-17T12:31:44,150.9,1.2,595.3,7.5,0,1,-80.9,0,,0.000,,0.00,
2026-06-17T12:31:45,150.8,1.2,595.6,7.5,0,1,-82.5,0,,0.000,,0.00,
2026-06-17T12:31:46,150.7,1.2,516.1,7.5,0,1,-61.4,0,,0.000,,0.00,
2026-06-17T12:31:46,150.7,1.2,516.3,7.5,0,1,-59.2,0,,0.005,5.1,5.07,11.20
2026-06-17T12:31:47,150.6,1.2,509.3,7.5,0,1,-65.5,0,,0.020,9.5,4.73,11.20
2026-06-17T12:31:48,150.6,1.2,550.1,7.5,0,1,-67.9,0,,0.019,8.9,4.44,11.20
2026-06-17T12:31:49,150.5,1.2,511.6,7.5,0,1,-67.9,0,356,0.044,12.5,8.33,6.24
2026-06-17T12:31:50,150.5,1.2,481.0,7.5,0,1,-71.7,0,356,0.042,11.8,7.88,6.24
2026-06-17T12:31:51,67.7,1.5,481.1,15.0,0,1,-62.9,0,356,0.040,11.2,7.47,6.24
2026-06-17T12:31:51,67.7,1.5,495.6,15.0,0,1,-76.6,0,356,0.038,10.7,7.10,6.24
2026-06-17T12:31:52,67.7,1.5,470.2,15.0,0,1,-70.9,0,356,0.036,10.1,6.74,6.24
2026-06-17T12:31:53,67.7,1.4,476.2,7.5,0,1,-65.9,0,356,0.034,9.7,6.47,6.24
2026-06-17T12:31:54,67.7,1.4,448.4,7.5,0,1,-63.1,0,356,0.033,9.3,6.19,6.24
2026-06-17T12:31:55,67.7,1.4,448.4,7.5,0,1,-67.7,0,356,0.032,8.9,5.95,6.24
2026-06-17T12:31:56,60.1,1.6,429.3,7.5,0,1,-57.6,0,356,0.043,11.4,8.57,6.25
2026-06-17T12:31:56,60.1,2.0,429.3,7.5,0,1,-42.3,1,356,0.047,13.8,11.03,4.99
2026-06-17T12:31:57,60.1,2.1,335.4,7.5,0,1,-45.4,1,356,0.085,13.2,10.59,4.99
2026-06-17T12:31:58,60.1,2.1,322.1,7.5,0,1,-42.9,1,356,0.101,17.8,10.19,4.99
2026-06-17T12:31:59,60.1,2.1,296.3,7.5,0,1,-42.8,1,356,0.116,22.2,9.87,4.99
2026-06-17T12:32:00,60.1,2.1,296.3,7.5,0,1,-42.4,1,356,0.122,28.6,9.52,4.99
2026-06-17T12:32:01,60.1,2.1,296.3,15.0,0,1,-60.4,0,356,0.126,27.7,9.24,4.99
2026-06-17T12:32:01,60.1,2.1,296.3,15.0,0,1,-52.7,0,356,0.122,26.8,8.95,4.99
2026-06-17T12:32:02,60.1,2.1,299.0,7.5,0,1,-59.8,0,356,0.118,26.0,8.68,4.99
2026-06-17T12:32:03,67.6,2.1,287.8,7.5,0,1,-58.6,0,250,0.119,29.5,10.53,4.44
2026-06-17T12:32:04,67.6,2.2,230.6,7.5,0,1,-59.4,0,250,0.118,30.8,10.26,4.44
2026-06-17T12:32:05,60.1,3.8,302.3,7.5,0,1,-54.5,0,250,0.119,31.8,9.95,4.44
2026-06-17T12:32:06,45.1,7.4,315.2,7.5,0,1,-66.7,0,250,0.116,31.0,9.68,4.44
2026-06-17T12:32:06,60.1,1.8,307.9,7.5,0,1,-52.2,0,250,0.115,32.1,11.32,4.03
2026-06-17T12:32:07,67.6,1.8,307.9,7.5,0,1,-78.9,0,250,0.114,33.1,11.03,4.03
2026-06-17T12:32:08,60.1,1.8,311.3,7.5,0,1,-66.3,0,250,0.113,34.1,12.57,3.61
2026-06-17T12:32:09,60.1,1.8,274.5,15.0,0,1,-80.1,0,250,0.110,33.2,12.24,3.61
2026-06-17T12:32:10,60.1,1.9,262.8,15.0,0,1,-81.2,0,250,0.108,32.5,11.98,3.61
2026-06-17T12:32:10,60.1,1.9,273.8,7.5,0,1,-63.7,0,250,0.107,33.4,13.37,3.38
2026-06-17T12:32:11,60.1,1.9,262.1,7.5,0,1,-46.4,1,250,0.112,37.6,13.09,3.38
2026-06-17T12:32:12,60.1,1.8,262.8,7.5,0,1,-63.7,0,250,0.109,36.7,12.78,3.38
2026-06-17T12:32:13,60.1,1.8,262.8,7.5,0,1,-71.7,0,222,0.109,37.6,12.52,3.38
2026-06-17T12:32:14,60.1,1.9,263.5,7.5,0,1,-75.8,0,222,0.106,36.8,12.25,3.38
2026-06-17T12:32:15,60.1,1.9,275.2,7.5,0,1,-73.5,0,222,0.115,38.9,13.48,3.19
2026-06-17T12:32:15,60.1,1.8,263.5,7.5,0,1,-59.3,0,179,0.127,41.1,13.20,3.19
2026-06-17T12:32:16,60.1,1.8,275.3,7.5,0,1,-51.1,0,151,0.129,41.7,12.94,3.19
2026-06-17T12:32:17,60.1,1.8,263.5,15.0,0,1,-38.7,1,151,0.137,42.4,12.71,3.19
2026-06-17T12:32:18,60.5,1.9,285.5,15.1,0,1,-31.2,1,151,0.152,42.9,12.46,3.19
2026-06-17T12:32:19,60.4,1.9,283.8,7.6,0,1,-54.2,0,158,0.161,43.5,12.23,3.19
2026-06-17T12:32:20,52.8,2.0,228.8,7.5,0,1,-18.0,1,155,0.165,48.0,12.00,3.19
2026-06-17T12:32:20,45.3,6.3,249.4,7.5,0,1,-35.9,1,158,0.180,48.4,11.77,3.19
2026-06-17T12:32:21,45.3,0.0,196.3,7.5,0,1,-34.7,1,158,0.185,48.8,11.56,3.19
2026-06-17T12:32:22,52.8,0.0,135.2,7.5,0,1,-31.0,1,158,0.187,49.3,11.37,3.19
2026-06-17T12:32:23,45.3,0.0,247.4,7.5,0,1,-33.0,1,150,0.202,48.4,11.16,3.19
2026-06-17T12:32:24,45.3,0.0,203.0,7.5,0,1,-37.1,1,150,0.213,49.9,10.96,3.19
2026-06-17T12:32:25,45.3,0.0,203.0,7.5,0,1,-34.1,1,145,0.221,51.6,10.79,3.19
2026-06-17T12:32:25,67.9,0.0,318.2,7.5,0,1,-53.2,0,142,0.221,50.7,10.61,3.19
2026-06-17T12:32:26,67.9,0.0,318.2,7.5,0,1,-54.2,0,142,0.218,50.0,10.46,3.19
2026-06-17T12:32:27,60.3,0.0,319.0,15.1,0,1,-47.7,0,139,0.225,51.4,11.42,3.01
2026-06-17T12:32:28,60.3,0.0,319.0,15.1,0,1,-6.3,1,133,0.229,52.9,11.25,3.01
2026-06-17T12:32:29,60.3,0.0,319.0,7.5,0,1,-12.5,1,145,0.242,52.0,11.07,3.01
2026-06-17T12:32:30,60.3,0.0,337.6,7.5,0,1,-7.4,1,147,0.253,51.2,10.90,3.01
2026-06-17T12:32:30,60.3,0.0,318.2,7.5,0,1,-11.9,1,147,0.265,50.5,10.74,3.01
2026-06-17T12:32:31,60.3,0.0,318.2,7.5,0,1,-19.0,1,150,0.272,50.8,10.59,3.01
2026-06-17T12:32:32,60.3,0.0,318.2,7.5,0,1,-12.1,1,152,0.280,52.1,10.43,3.01
2026-06-17T12:32:33,60.3,0.0,315.1,7.5,0,1,-24.6,1,152,0.287,53.5,10.28,3.01
2026-06-17T12:32:34,60.3,0.0,315.1,7.5,0,1,-32.2,1,150,0.295,53.8,10.15,3.01
2026-06-17T12:32:35,60.3,0.0,402.2,7.5,0,1,-51.9,0,138,0.299,54.0,10.01,3.01
2026-06-17T12:32:35,60.3,0.0,370.8,15.1,0,1,-36.7,0,136,0.304,56.0,10.01,2.93
2026-06-17T12:32:36,60.4,0.0,412.0,15.1,0,1,-53.9,0,136,0.307,57.0,10.01,2.84
2026-06-17T12:32:37,60.1,0.0,404.5,7.5,0,1,-22.5,1,136,0.318,59.0,10.01,2.76
2026-06-17T12:32:38,52.6,0.0,452.7,7.5,0,1,-25.6,1,137,0.332,59.0,10.01,2.68
2026-06-17T12:32:39,52.6,0.0,416.7,7.5,0,1,-38.9,0,136,0.343,61.0,10.01,2.60
2026-06-17T12:32:40,60.1,0.0,348.0,7.5,0,1,-29.4,1,136,0.346,62.0,10.01,2.51
2026-06-17T12:32:40,60.1,0.0,308.8,7.5,0,1,-53.8,0,136,0.346,62.0,10.01,2.43
2026-06-17T12:32:41,60.1,0.0,308.8,7.5,0,1,-19.8,1,133,0.349,64.0,11.01,2.25
2026-06-17T12:32:42,60.1,0.0,308.8,7.5,0,1,-54.5,0,133,0.353,64.0,11.01,2.18
2026-06-17T12:32:43,60.0,0.0,313.5,7.5,0,1,-52.6,0,133,0.358,65.0,12.01,2.01
2026-06-17T12:32:44,60.0,0.0,314.4,7.5,0,1,-15.6,1,135,0.367,66.0,12.01,1.94
2026-06-17T12:32:45,60.0,0.0,332.7,7.5,0,1,-52.3,0,134,0.380,66.0,12.01,1.87
2026-06-17T12:32:45,60.0,0.0,313.6,7.5,0,1,-49.1,0,134,0.387,69.0,11.01,1.93
2026-06-17T12:32:46,45.0,8.7,356.8,7.5,0,1,-48.4,0,132,0.391,70.0,11.01,1.93
2026-06-17T12:32:47,45.0,13.3,379.1,7.5,0,1,-12.0,1,131,0.399,70.0,11.01,1.90
2026-06-17T12:32:48,45.0,10.0,392.5,7.5,0,1,-48.3,0,131,0.412,70.0,10.01,2.00
2026-06-17T12:32:49,45.0,1.8,382.9,7.5,0,1,-13.7,1,131,0.414,72.0,10.01,1.96
2026-06-17T12:32:50,67.5,1.8,382.9,7.5,0,1,-54.5,0,131,0.418,73.0,10.01,1.88
2026-06-17T12:32:50,67.5,1.8,396.7,15.0,0,1,-54.6,0,131,0.418,73.0,10.01,1.79
2026-06-17T12:32:51,60.5,1.8,375.9,15.1,0,1,-54.6,0,131,0.418,73.0,10.01,1.71
2026-06-17T12:32:52,60.5,1.9,356.0,15.1,0,1,-24.6,1,131,0.430,75.0,11.01,1.68
2026-06-17T12:32:53,60.5,1.9,369.4,15.1,0,1,-54.3,0,130,0.432,75.0,11.01,1.60
2026-06-17T12:32:54,60.5,1.8,425.9,15.1,0,1,-16.7,1,130,0.435,76.0,11.01,1.57
2026-06-17T12:32:55,60.5,1.8,426.3,15.1,0,1,-14.6,1,130,0.446,76.0,11.01,1.57
2026-06-17T12:32:55,60.5,1.8,426.3,15.1,0,1,-15.4,1,130,0.455,76.0,10.01,1.61
2026-06-17T12:32:56,60.5,1.9,425.9,15.1,0,1,-36.3,1,131,0.466,75.0,10.01,1.61
2026-06-17T12:32:57,60.5,1.9,441.6,15.1,0,1,-57.2,0,132,0.458,75.0,10.01,1.61
2026-06-17T12:32:58,60.5,1.8,425.5,15.1,0,1,-27.0,1,130,0.461,76.0,10.01,1.61
2026-06-17T12:32:59,60.5,1.8,441.6,15.1,0,1,-51.5,0,130,0.462,76.0,10.01,1.61
2026-06-17T12:33:00,60.5,1.8,425.9,15.1,0,1,-36.0,1,130,0.463,75.0,10.01,1.61
2026-06-17T12:33:00,60.2,1.9,416.5,15.1,0,1,-50.2,0,133,0.466,75.0,10.01,1.56
2026-06-17T12:33:01,60.1,1.9,334.4,15.0,0,1,-41.4,0,130,0.469,76.0,10.01,1.48
