pause_start,pause_end,duration_sec
2026-06-23T14:34:03,2026-06-23T14:34:06,2.54
2026-06-23T14:34:07,2026-06-23T14:34:16,8.22
2026-06-23T14:34:19,2026-06-23T14:34:26,6.56
2026-06-23T14:34:29,2026-06-23T14:34:36,7.54
2026-06-23T14:34:38,2026-06-23T14:36:52,134.19
2026-06-23T14:36:53,2026-06-23T14:37:10,17.38
2026-06-23T14:37:11,2026-06-23T14:37:14,2.45
2026-06-23T14:37:30,2026-06-23T14:37:32,2.41
2026-06-23T14:37:33,2026-06-23T15:07:47,1814.11
2026-06-23T15:07:49,2026-06-23T15:07:58,9.11
2026-06-23T15:08:24,2026-06-23T15:08:26,1.62
2026-06-23T15:08:42,2026-06-23T15:08:43,1.68
2026-06-23T15:08:47,2026-06-23T15:08:48,1.65
2026-06-23T15:08:52,2026-06-23T15:08:58,5.14
2026-06-23T15:09:03,2026-06-23T15:09:04,1.67
2026-06-23T15:09:20,2026-06-23T15:09:22,1.61
2026-06-23T15:09:24,2026-06-23T15:09:26,1.67
2026-06-23T15:09:27,2026-06-23T15:09:28,1.66
2026-06-23T15:09:32,2026-06-23T15:09:37,5.02
2026-06-23T15:09:56,2026-06-23T15:09:57,1.61
2026-06-23T15:10:13,2026-06-23T15:10:15,1.60
2026-06-23T15:10:16,2026-06-23T15:10:19,2.48
2026-06-23T15:10:22,2026-06-23T15:10:25,3.29
2026-06-23T15:10:42,2026-06-23T15:10:43,1.68
2026-06-23T15:10:45,2026-06-23T15:10:48,2.47
2026-06-23T15:10:48,2026-06-23T15:10:51,2.54
2026-06-23T15:10:52,2026-06-23T15:10:59,7.48
2026-06-23T15:11:00,2026-06-23T15:11:02,1.66
2026-06-23T15:11:06,2026-06-23T15:11:14,8.14
2026-06-23T15:11:17,2026-06-23T15:11:18,1.61
2026-06-23T15:11:29,2026-06-23T15:11:32,3.28
2026-06-23T15:11:46,2026-06-23T15:11:47,1.61
2026-06-23T15:11:54,2026-06-23T15:12:00,5.80
2026-06-23T15:12:01,2026-06-23T15:12:04,3.34
2026-06-23T15:12:08,2026-06-23T15:12:10,1.61
2026-06-23T15:12:10,2026-06-23T15:12:18,7.35
2026-06-23T15:12:19,2026-06-23T15:12:20,1.72
2026-06-23T15:12:21,2026-06-23T15:12:35,13.93
2026-06-23T15:12:38,2026-06-23T15:12:41,2.42
2026-06-23T15:12:42,2026-06-23T15:12:47,4.99
2026-06-23T15:12:47,2026-06-23T15:13:06,18.36
2026-06-23T15:13:10,2026-06-23T15:13:14,4.07
2026-06-23T15:13:54,2026-06-23T15:13:56,1.66
2026-06-23T15:14:11,2026-06-23T15:14:13,1.67
2026-06-23T15:14:15,2026-06-23T15:14:19,4.27
2026-06-23T15:14:35,2026-06-23T15:14:36,1.60
2026-06-23T15:14:38,2026-06-23T15:14:40,1.68
2026-06-23T15:14:40,2026-06-23T15:14:42,1.73
2026-06-23T15:14:47,2026-06-23T15:14:49,1.67
2026-06-23T15:14:55,2026-06-23T15:14:56,1.64
2026-06-23T15:14:57,2026-06-23T15:14:59,1.60
2026-06-23T15:15:02,2026-06-23T15:15:04,1.72
2026-06-23T15:15:07,2026-06-23T15:15:09,1.72
2026-06-23T15:15:10,2026-06-23T15:15:12,1.61
2026-06-23T15:15:40,2026-06-23T15:15:42,2.47
2026-06-23T15:15:43,2026-06-23T15:15:46,3.21
2026-06-23T15:15:51,2026-06-23T15:15:52,1.68
2026-06-23T15:15:58,2026-06-23T15:16:01,2.41
2026-06-23T15:16:02,2026-06-23T15:16:04,1.66
2026-06-23T15:16:26,2026-06-23T15:16:27,1.67
2026-06-23T15:16:32,2026-06-23T15:16:34,1.61
2026-06-23T15:16:39,2026-06-23T15:16:41,1.68
2026-06-23T15:17:00,2026-06-23T15:17:05,4.19
2026-06-23T15:17:25,2026-06-23T15:17:34,8.30
2026-06-23T15:17:39,2026-06-23T15:17:47,8.41
2026-06-23T15:17:50,2026-06-23T15:17:53,2.47
2026-06-23T15:18:01,2026-06-23T15:18:03,1.67
2026-06-23T15:18:04,2026-06-23T15:18:06,2.54
2026-06-23T15:18:08,2026-06-23T15:18:10,2.47
2026-06-23T15:18:17,2026-06-23T15:18:19,1.61
2026-06-23T15:18:35,2026-06-23T15:18:38,2.54
2026-06-23T15:18:39,2026-06-23T15:18:41,1.61
2026-06-23T15:18:43,2026-06-23T15:18:44,1.60
2026-06-23T15:18:48,2026-06-23T15:18:50,1.66
2026-06-23T15:19:02,2026-06-23T15:19:05,2.48
2026-06-23T15:19:07,2026-06-23T15:19:09,1.67
2026-06-23T15:19:22,2026-06-23T15:19:26,4.20
2026-06-23T15:19:27,2026-06-23T15:19:38,10.88
2026-06-23T15:19:40,2026-06-23T15:19:41,1.61
2026-06-23T15:19:49,2026-06-23T15:19:50,1.61
2026-06-23T15:19:52,2026-06-23T15:19:55,2.47
2026-06-23T15:20:05,2026-06-23T15:20:07,1.60
2026-06-23T15:20:11,2026-06-23T15:20:13,1.65
2026-06-23T15:20:14,2026-06-23T15:20:20,6.69
2026-06-23T15:20:23,2026-06-23T15:20:25,2.54
2026-06-23T15:20:27,2026-06-23T15:20:29,1.73
2026-06-23T15:20:39,2026-06-23T15:20:41,1.60
2026-06-23T15:20:42,2026-06-23T15:20:44,2.41
2026-06-23T15:20:48,2026-06-23T15:20:53,4.14
2026-06-23T15:21:06,2026-06-23T15:21:25,18.38
2026-06-23T15:21:50,2026-06-23T15:21:52,1.72
2026-06-23T15:21:56,2026-06-23T15:22:07,11.50
2026-06-23T15:22:08,2026-06-23T15:22:18,10.22
2026-06-23T15:22:31,2026-06-23T15:22:32,1.60
2026-06-23T15:22:33,2026-06-23T15:22:38,4.94
2026-06-23T15:22:39,2026-06-23T15:22:55,16.41
2026-06-23T15:22:58,2026-06-23T15:23:02,4.27
2026-06-23T15:23:04,2026-06-23T15:25:15,130.87
2026-06-23T15:25:15,2026-06-23T15:26:12,56.19
2026-06-23T15:26:12,2026-06-23T15:27:59,106.20
2026-06-23T15:27:59,2026-06-23T15:28:04,4.93
2026-06-23T15:28:18,2026-06-23T15:28:20,1.68
2026-06-23T15:28:26,2026-06-23T15:36:13,466.62
2026-06-23T15:36:15,2026-06-23T15:36:17,1.66
2026-06-23T15:36:25,2026-06-23T15:36:27,1.60
2026-06-23T15:36:33,2026-06-23T15:36:34,1.67
2026-06-23T15:36:40,2026-06-23T15:36:42,1.61
2026-06-23T15:36:51,2026-06-23T15:36:53,1.66
2026-06-23T15:36:58,2026-06-23T15:36:59,1.60
2026-06-23T15:37:15,2026-06-23T15:37:16,1.66
2026-06-23T15:37:18,2026-06-23T15:37:20,1.66
2026-06-23T15:37:31,2026-06-23T15:37:34,2.53
2026-06-23T15:37:35,2026-06-23T15:37:38,2.48
2026-06-23T15:37:48,2026-06-23T15:37:56,7.50
2026-06-23T15:38:00,2026-06-23T15:38:01,1.66
2026-06-23T15:38:09,2026-06-23T15:38:11,1.61
2026-06-23T15:38:17,2026-06-23T15:38:20,2.50
2026-06-23T15:38:31,2026-06-23T15:38:33,1.40
2026-06-23T15:38:40,2026-06-23T15:38:42,1.51
2026-06-23T15:38:48,2026-06-23T15:38:49,1.05
2026-06-23T15:38:55,2026-06-23T15:38:56,1.01
2026-06-23T15:38:59,2026-06-23T15:39:03,4.13
2026-06-23T15:39:06,2026-06-23T15:39:09,3.56
