pause_start,pause_end,duration_sec
2026-06-23T12:56:43,2026-06-23T12:56:45,1.66
2026-06-23T12:56:47,2026-06-23T12:57:03,15.94
2026-06-23T12:57:14,2026-06-23T12:57:16,1.67
2026-06-23T12:57:22,2026-06-23T12:57:26,4.22
2026-06-23T12:57:32,2026-06-23T12:57:41,9.22
2026-06-23T12:57:42,2026-06-23T12:57:43,1.71
2026-06-23T12:57:44,2026-06-23T12:57:52,7.62
2026-06-23T12:57:53,2026-06-23T12:57:56,3.33
2026-06-23T12:57:57,2026-06-23T12:57:59,2.47
2026-06-23T12:58:00,2026-06-23T12:58:16,15.82
2026-06-23T12:58:17,2026-06-23T12:58:27,9.93
2026-06-23T12:58:31,2026-06-23T12:58:37,5.87
2026-06-23T12:58:38,2026-06-23T12:58:51,13.57
2026-06-23T12:58:52,2026-06-23T12:58:56,3.42
2026-06-23T12:58:58,2026-06-23T12:59:03,4.88
2026-06-23T12:59:05,2026-06-23T12:59:08,3.41
2026-06-23T12:59:09,2026-06-23T12:59:26,16.64
2026-06-23T12:59:26,2026-06-23T12:59:37,10.74
2026-06-23T12:59:38,2026-06-23T12:59:42,4.14
2026-06-23T12:59:45,2026-06-23T12:59:52,7.40
2026-06-23T12:59:53,2026-06-23T13:00:05,11.61
2026-06-23T13:00:05,2026-06-23T13:00:13,7.34
2026-06-23T13:00:16,2026-06-23T13:00:28,11.68
2026-06-23T13:00:29,2026-06-23T13:00:31,2.54
2026-06-23T13:00:33,2026-06-23T13:00:38,5.07
2026-06-23T13:00:39,2026-06-23T13:00:48,9.14
2026-06-23T13:00:49,2026-06-23T13:00:55,6.61
2026-06-23T13:00:58,2026-06-23T13:01:00,2.47
2026-06-23T13:01:01,2026-06-23T13:01:06,5.07
2026-06-23T13:01:07,2026-06-23T13:01:10,3.34
2026-06-23T13:01:12,2026-06-23T13:01:14,1.67
2026-06-23T13:01:14,2026-06-23T13:01:19,4.90
2026-06-23T13:01:26,2026-06-23T13:01:39,12.50
2026-06-23T13:01:39,2026-06-23T13:01:58,18.29
2026-06-23T13:02:00,2026-06-23T13:02:05,5.02
2026-06-23T13:02:08,2026-06-23T13:02:21,13.35
2026-06-23T13:02:22,2026-06-23T13:02:55,32.65
2026-06-23T13:02:55,2026-06-23T13:04:43,107.32
2026-06-23T13:04:45,2026-06-23T13:05:14,28.31
2026-06-23T13:05:15,2026-06-23T14:15:29,4213.86
2026-06-23T14:15:34,2026-06-23T14:15:37,2.47
2026-06-23T14:15:42,2026-06-23T14:15:46,4.21
2026-06-23T14:15:56,2026-06-23T14:15:57,1.62
2026-06-23T14:16:03,2026-06-23T14:16:06,3.21
2026-06-23T14:16:17,2026-06-23T14:16:19,1.60
2026-06-23T14:16:22,2026-06-23T14:16:24,1.66
2026-06-23T14:16:27,2026-06-23T14:16:29,1.61
2026-06-23T14:16:38,2026-06-23T14:16:40,1.75
2026-06-23T14:16:43,2026-06-23T14:16:45,1.67
2026-06-23T14:16:53,2026-06-23T14:16:55,1.72
2026-06-23T14:16:56,2026-06-23T14:17:05,8.29
2026-06-23T14:17:08,2026-06-23T14:17:10,2.46
2026-06-23T14:17:12,2026-06-23T14:17:17,5.01
2026-06-23T14:17:22,2026-06-23T14:17:25,2.48
2026-06-23T14:17:25,2026-06-23T14:17:27,1.65
2026-06-23T14:17:30,2026-06-23T14:17:34,3.35
2026-06-23T14:17:35,2026-06-23T14:17:36,1.61
2026-06-23T14:17:37,2026-06-23T14:17:40,3.29
2026-06-23T14:17:41,2026-06-23T14:17:49,7.37
2026-06-23T14:17:49,2026-06-23T14:17:57,7.48
2026-06-23T14:17:58,2026-06-23T14:17:59,1.66
2026-06-23T14:18:00,2026-06-23T14:18:12,12.29
2026-06-23T14:18:13,2026-06-23T14:18:20,6.61
2026-06-23T14:18:21,2026-06-23T14:18:23,1.75
2026-06-23T14:18:32,2026-06-23T14:18:44,12.55
2026-06-23T14:18:45,2026-06-23T14:18:47,1.68
2026-06-23T14:19:00,2026-06-23T14:19:01,1.66
2026-06-23T14:19:04,2026-06-23T14:19:06,2.54
2026-06-23T14:19:07,2026-06-23T14:19:09,1.67
2026-06-23T14:19:10,2026-06-23T14:19:12,1.67
2026-06-23T14:19:12,2026-06-23T14:19:16,3.28
2026-06-23T14:19:21,2026-06-23T14:19:25,3.34
2026-06-23T14:19:32,2026-06-23T14:19:35,2.42
2026-06-23T14:19:37,2026-06-23T14:19:41,4.07
2026-06-23T14:19:43,2026-06-23T14:19:45,2.54
2026-06-23T14:19:50,2026-06-23T14:19:53,2.46
2026-06-23T14:19:56,2026-06-23T14:19:59,2.46
2026-06-23T14:20:01,2026-06-23T14:20:03,2.41
2026-06-23T14:20:07,2026-06-23T14:20:09,2.47
2026-06-23T14:20:18,2026-06-23T14:20:20,2.50
2026-06-23T14:20:24,2026-06-23T14:20:26,1.74
2026-06-23T14:20:33,2026-06-23T14:20:38,5.69
2026-06-23T14:20:40,2026-06-23T14:20:46,6.53
2026-06-23T14:20:47,2026-06-23T14:20:54,6.54
2026-06-23T14:20:55,2026-06-23T14:20:56,1.74
2026-06-23T14:21:02,2026-06-23T14:21:05,2.46
2026-06-23T14:21:16,2026-06-23T14:21:24,8.35
2026-06-23T14:21:27,2026-06-23T14:21:29,1.67
2026-06-23T14:21:33,2026-06-23T14:21:35,1.66
2026-06-23T14:21:48,2026-06-23T14:21:52,4.28
2026-06-23T14:21:54,2026-06-23T14:21:57,2.53
2026-06-23T14:21:58,2026-06-23T14:21:59,1.68
2026-06-23T14:22:05,2026-06-23T14:22:07,1.75
2026-06-23T14:22:09,2026-06-23T14:22:12,3.30
2026-06-23T14:22:13,2026-06-23T14:22:16,2.48
2026-06-23T14:22:18,2026-06-23T14:22:20,1.61
2026-06-23T14:22:22,2026-06-23T14:22:38,15.81
2026-06-23T14:22:40,2026-06-23T14:22:43,3.21
2026-06-23T14:22:44,2026-06-23T14:23:02,17.48
2026-06-23T14:23:03,2026-06-23T14:23:18,15.02
2026-06-23T14:23:19,2026-06-23T14:23:21,1.67
2026-06-23T14:23:39,2026-06-23T14:23:40,1.61
2026-06-23T14:23:52,2026-06-23T14:23:55,2.60
2026-06-23T14:23:55,2026-06-23T14:23:57,1.74
2026-06-23T14:24:03,2026-06-23T14:24:06,2.52
2026-06-23T14:24:20,2026-06-23T14:24:33,13.48
2026-06-23T14:24:58,2026-06-23T14:25:00,1.60
2026-06-23T14:25:25,2026-06-23T14:25:26,1.60
2026-06-23T14:25:30,2026-06-23T14:25:33,3.27
2026-06-23T14:25:36,2026-06-23T14:25:39,2.47
2026-06-23T14:25:41,2026-06-23T14:25:43,1.66
2026-06-23T14:25:47,2026-06-23T14:25:50,3.35
2026-06-23T14:25:51,2026-06-23T14:25:52,1.61
2026-06-23T14:25:53,2026-06-23T14:26:15,21.64
2026-06-23T14:26:16,2026-06-23T14:26:18,1.67
2026-06-23T14:26:36,2026-06-23T14:26:37,1.61
2026-06-23T14:26:50,2026-06-23T14:26:53,3.33
2026-06-23T14:26:55,2026-06-23T14:27:03,7.41
2026-06-23T14:27:19,2026-06-23T14:27:21,1.67
2026-06-23T14:27:23,2026-06-23T14:27:26,3.33
2026-06-23T14:27:34,2026-06-23T14:27:38,3.35
2026-06-23T14:27:39,2026-06-23T14:27:51,12.35
2026-06-23T14:28:23,2026-06-23T14:28:26,2.41
2026-06-23T14:28:26,2026-06-23T14:28:38,11.82
2026-06-23T14:28:39,2026-06-23T14:28:45,5.81
2026-06-23T14:28:47,2026-06-23T14:28:48,1.61
2026-06-23T14:29:04,2026-06-23T14:29:05,1.61
2026-06-23T14:29:18,2026-06-23T14:29:20,1.67
2026-06-23T14:29:32,2026-06-23T14:29:37,4.08
2026-06-23T14:29:37,2026-06-23T14:29:39,1.72
2026-06-23T14:29:41,2026-06-23T14:29:45,4.06
2026-06-23T14:29:46,2026-06-23T14:29:59,12.41
2026-06-23T14:30:00,2026-06-23T14:30:02,2.52
2026-06-23T14:30:04,2026-06-23T14:30:07,3.34
2026-06-23T14:30:09,2026-06-23T14:30:11,2.47
2026-06-23T14:30:13,2026-06-23T14:30:15,2.47
2026-06-23T14:30:24,2026-06-23T14:30:25,1.68
2026-06-23T14:30:37,2026-06-23T14:30:48,11.89
2026-06-23T14:30:49,2026-06-23T14:30:58,8.34
2026-06-23T14:31:00,2026-06-23T14:31:12,11.61
2026-06-23T14:31:16,2026-06-23T14:31:18,2.61
2026-06-23T14:31:23,2026-06-23T14:31:25,1.68
2026-06-23T14:31:26,2026-06-23T14:31:27,1.65
2026-06-23T14:31:41,2026-06-23T14:31:43,1.67
2026-06-23T14:32:28,2026-06-23T14:32:29,1.60
2026-06-23T14:32:31,2026-06-23T14:32:32,1.61
2026-06-23T14:32:38,2026-06-23T14:32:47,8.15
2026-06-23T14:32:57,2026-06-23T14:32:58,1.74
2026-06-23T14:33:04,2026-06-23T14:33:06,1.66
2026-06-23T14:33:14,2026-06-23T14:33:16,1.66
2026-06-23T14:33:30,2026-06-23T14:33:34,4.16
2026-06-23T14:33:35,2026-06-23T14:33:38,3.26
2026-06-23T14:33:46,2026-06-23T14:33:48,2.47
2026-06-23T14:33:49,2026-06-23T14:33:51,1.73
2026-06-23T14:33:57,2026-06-23T14:33:59,1.61
