timestamp,hr_bpm,snr,rmssd_ms_trend,resp_per_min,face_idx,voice_db,voice_voiced,voice_pitch_hz,voice_speech_ratio,voice_tempo_per_min,voice_pauses_per_min,voice_avg_pause_sec
2026-06-17T11:43:35,71.9,3.4,,12.0,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:36,71.5,5.0,,10.2,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:36,71.2,6.4,179.0,8.9,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:37,71.0,6.5,189.5,7.9,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:38,67.9,5.5,223.0,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:39,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:40,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:41,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:41,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:42,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:43,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:44,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:45,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:46,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:46,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:47,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:48,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:49,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:50,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:51,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:51,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:52,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:53,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:54,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:55,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:56,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:43:57,67.9,5.5,231.9,15.1,0,-69.9,0,,0.004,1.0,1.00,59.52
2026-06-17T11:43:57,67.9,5.5,231.9,15.1,0,-180.0,0,,0.004,1.0,1.00,58.69
2026-06-17T11:43:58,67.9,5.5,231.9,15.1,0,-180.0,0,,0.004,1.0,1.00,57.92
